sat_id,sat_name,norad_id,primary_rx_time,primary_ant_id,secondary_ant_id,tdoa,fdoa
41,Galaxy 16,29236,2021-09-01T00:05:55Z,175,177,0.00209623258847048,0.527336853775966
41,Galaxy 16,29236,2021-09-01T00:05:55Z,176,177,0.00363749609997259,0.0247125312208208
41,Galaxy 16,29236,2021-09-01T00:05:55Z,175,176,-0.00154126329260456,0.508300939541385
41,Galaxy 16,29236,2021-09-01T00:35:55Z,175,176,-0.00154135673082815,1.0494919987906
41,Galaxy 16,29236,2021-09-01T00:35:55Z,175,177,0.00209613502646245,-0.0573735922456853
41,Galaxy 16,29236,2021-09-01T00:35:55Z,176,177,0.00363749267621866,-1.1049645545007
41,Galaxy 16,29236,2021-09-01T01:05:55Z,176,177,0.00363751147603488,-0.23439631107851
41,Galaxy 16,29236,2021-09-01T01:05:55Z,175,177,0.00209612809732939,-0.221680735222869
41,Galaxy 16,29236,2021-09-01T01:05:55Z,175,176,-0.00154138291417287,0.0143551188938597
41,Galaxy 16,29236,2021-09-01T01:35:55Z,175,176,-0.00154134448532107,-0.955986357035272
41,Galaxy 16,29236,2021-09-01T01:35:55Z,175,177,0.00209621769852446,-1.25048456600805
41,Galaxy 16,29236,2021-09-01T01:35:55Z,176,177,0.00363756271902405,-0.292187441865428
41,Galaxy 16,29236,2021-09-01T02:05:55Z,176,177,0.00363763195352825,0.0873383444611097
41,Galaxy 16,29236,2021-09-01T02:05:55Z,175,177,0.00209638882243901,-0.816411528443003
41,Galaxy 16,29236,2021-09-01T02:05:55Z,175,176,-0.00154124336722874,-0.908580606876417
41,Galaxy 16,29236,2021-09-01T02:35:55Z,175,177,0.00209664613947929,-3.31437951289232
41,Galaxy 16,29236,2021-09-01T02:35:55Z,175,176,-0.00154108015986047,-1.8145480665596
41,Galaxy 16,29236,2021-09-01T02:35:55Z,176,177,0.00363772661823433,-1.49668468125502
41,Galaxy 16,29236,2021-09-01T03:05:55Z,176,177,0.00363784999204886,-0.149294224720233
41,Galaxy 16,29236,2021-09-01T03:05:55Z,175,176,-0.00154085181988548,-2.70998414800351
41,Galaxy 16,29236,2021-09-01T03:05:55Z,175,177,0.00209699864499036,-2.8570879940247
41,Galaxy 16,29236,2021-09-01T03:35:55Z,175,176,-0.00154056452724679,-2.4211303663507
41,Galaxy 16,29236,2021-09-01T03:35:55Z,176,177,0.00363798588045858,-1.80976202657448
41,Galaxy 16,29236,2021-09-01T03:35:55Z,175,177,0.00209742096462922,-4.22441853099822
41,Galaxy 16,29236,2021-09-01T04:05:55Z,176,177,0.00363813472359566,-1.07328399900482
41,Galaxy 16,29236,2021-09-01T04:05:55Z,175,176,-0.00154022241720262,-2.0287571923498
41,Galaxy 16,29236,2021-09-01T04:05:55Z,175,177,0.00209791224964739,-3.09817379268302
41,Galaxy 16,29236,2021-09-01T04:35:55Z,176,177,0.0036383217079682,-1.72857128742096
41,Galaxy 16,29236,2021-09-01T04:35:55Z,175,177,0.00209849024929154,-4.26742819916305
41,Galaxy 16,29236,2021-09-01T04:35:55Z,175,176,-0.00153983161191736,-2.5343336592033
41,Galaxy 16,29236,2021-09-01T05:05:55Z,175,176,-0.00153938730832927,-3.19647897819106
41,Galaxy 16,29236,2021-09-01T05:05:55Z,175,177,0.00209911967702818,-3.91046787985617
41,Galaxy 16,29236,2021-09-01T05:05:55Z,176,177,0.00363850740540439,-0.717208004801316
41,Galaxy 16,29236,2021-09-01T05:35:55Z,175,177,0.00209979135805639,-4.28732047894066
41,Galaxy 16,29236,2021-09-01T05:35:55Z,176,177,0.00363869942175202,-0.193692643021024
41,Galaxy 16,29236,2021-09-01T05:35:55Z,175,176,-0.00153890820711337,-4.08946568856537
41,Galaxy 16,29236,2021-09-01T06:05:55Z,176,177,0.00363890746733895,-2.43841366655247
41,Galaxy 16,29236,2021-09-01T06:05:55Z,175,177,0.00210051501223699,-5.97393861149244
41,Galaxy 16,29236,2021-09-01T06:05:55Z,175,176,-0.00153839253482379,-3.53644947071144
41,Galaxy 16,29236,2021-09-01T06:35:55Z,175,176,-0.00153785333226401,-3.7797979713811
41,Galaxy 16,29236,2021-09-01T06:35:55Z,176,177,0.00363910968058114,-0.982681857974465
41,Galaxy 16,29236,2021-09-01T06:35:55Z,175,177,0.00210125590144828,-4.76308664702346
41,Galaxy 16,29236,2021-09-01T07:05:55Z,175,177,0.00210201495111115,-4.63242898229506
41,Galaxy 16,29236,2021-09-01T07:05:55Z,176,177,0.00363930734176914,-0.79636742299867
41,Galaxy 16,29236,2021-09-01T07:05:55Z,175,176,-0.00153729250975304,-3.8341025680369
41,Galaxy 16,29236,2021-09-01T07:35:55Z,175,177,0.00210277306478513,-5.37303086218781
41,Galaxy 16,29236,2021-09-01T07:35:55Z,176,177,0.00363951134860465,-1.61538976389714
41,Galaxy 16,29236,2021-09-01T07:35:55Z,175,176,-0.00153673800459909,-3.75907913399147
41,Galaxy 16,29236,2021-09-01T08:05:55Z,175,177,0.00210352422577976,-5.38516654335858
41,Galaxy 16,29236,2021-09-01T08:05:55Z,176,177,0.00363970490171512,-1.73919666517377
41,Galaxy 16,29236,2021-09-01T08:05:55Z,175,176,-0.00153618123580948,-3.65097623938926
41,Galaxy 16,29236,2021-09-01T08:35:55Z,175,176,-0.00153563831370884,-3.70885911389236
41,Galaxy 16,29236,2021-09-01T08:35:55Z,175,177,0.00210424639956657,-4.53233875303046
41,Galaxy 16,29236,2021-09-01T08:35:55Z,176,177,0.00363988483694769,-0.823562733231121
