,sat_id,sat_name,norad_id,primary_rx_time,primary_ant_id,secondary_ant_id,tdoa,fdoa,maneuver,tdoa_scaled,fdoa_scaled
12175,72,SES 15,42709,2021-12-02 10:31:55+00:00,175,177,0.0063006556097763,-0.855767003045108,False,1.4018561704557324,-0.6677423163783366
10879,72,SES 15,42709,2021-11-22 08:31:55+00:00,175,176,0.0028965343882045,-0.921935885034225,False,-0.8689068031664327,-0.7193088298555258
3923,72,SES 15,42709,2021-10-02 00:12:25+00:00,175,177,0.0062990803112092,-0.0588767450409242,True,1.4008053472253776,-0.04671244563075094
3315,72,SES 15,42709,2021-09-27 03:12:25+00:00,176,177,0.003405633481237,1.0089977664076,False,-0.5293056858392884,0.7854999740322288
6509,72,SES 15,42709,2021-10-21 04:32:35+00:00,175,176,0.0028952182033717,-1.4539752742191,False,-0.869784781237785,-1.1339360006351347
9482,72,SES 15,42709,2021-11-12 15:31:25+00:00,175,177,0.0063011683260995,1.08883900313686,False,1.4021981844931044,0.8477215816228181
16014,72,SES 15,42709,2021-12-29 20:31:35+00:00,176,177,0.0034086294580658,-0.209845047000035,False,-0.5273071808478803,-0.16436456160398552
8301,72,SES 15,42709,2021-11-03 20:31:25+00:00,175,176,0.002891527183785,0.938168817490459,False,-0.8722469234668219,0.7303017926648661
1951,72,SES 15,42709,2021-09-14 15:12:25+00:00,175,176,0.0028938677264597,0.375290819757833,False,-0.8706856342829314,0.2916415798345103
3797,72,SES 15,42709,2021-10-01 01:42:25+00:00,175,176,0.0028941733967085,-0.199892450103586,False,-0.8704817330003584,-0.15660833682632974
11878,72,SES 15,42709,2021-11-30 09:01:55+00:00,175,176,0.0028961573476249,-0.395756648281239,False,-0.8691583129488348,-0.309248573617515
18112,72,SES 15,42709,2022-01-14 08:31:35+00:00,175,176,0.0028969376232009,-1.25680721359121,False,-0.8686378200603987,-0.9802796420871454
13235,72,SES 15,42709,2021-12-09 19:31:55+00:00,175,177,0.0062978968581008,1.45292281274728,True,1.4000159095630105,1.1314581676239241
10414,72,SES 15,42709,2021-11-19 03:01:55+00:00,175,176,0.0028956435640848,-2.3459236705198,False,-0.8695010388870072,-1.8290462641931964
7038,72,SES 15,42709,2021-10-24 20:31:55+00:00,175,176,0.0028937297390084,-0.289758917501357,False,-0.8707776805923436,-0.2266427739047246
20203,72,SES 15,42709,2022-01-28 21:01:10+00:00,176,177,0.0034082096631564,-0.390798194679905,False,-0.5275872104575016,-0.30538436801553337
7426,72,SES 15,42709,2021-10-27 19:01:55+00:00,175,176,0.002893444780279,1.43130760906165,False,-0.8709677659887246,1.1146130788350497
7298,72,SES 15,42709,2021-10-26 16:01:55+00:00,175,176,0.0028942044501619,0.438706119013274,False,-0.870461018393682,0.3410621803556666
20351,72,SES 15,42709,2022-01-29 22:01:10+00:00,175,176,0.0028913404030792,-0.411538243925468,False,-0.8723715179460755,-0.3215474343510776
8358,72,SES 15,42709,2021-11-04 06:01:25+00:00,176,177,0.0034044612148143,1.20597581935184,False,-0.5300876612786524,0.9390082564228891
11125,72,SES 15,42709,2021-11-24 01:31:55+00:00,175,177,0.0062986445365777,0.246130229925554,True,1.4005146581359926,0.19098457768955365
4490,72,SES 15,42709,2021-10-06 10:12:25+00:00,176,177,0.0034059081581686,-1.32007569721158,False,-0.5291224590487634,-1.0295858267349036
