,primary_rx_time,176_177_tdoa,176_177_fdoa,175_177_tdoa,175_177_fdoa,175_176_tdoa,175_176_fdoa,maneuver,175_177_tdoa_scaled,175_177_fdoa_scaled,175_176_tdoa_scaled,175_176_fdoa_scaled,176_177_tdoa_scaled,176_177_fdoa_scaled
2431,2021-10-24 15:05:55+00:00,0.0036306167010373,0.0036306167010373,0.0048055162891878,0.0048055162891878,0.0011749006342152,0.0011749006342152,0,0.7927220215550219,0.7927220215550219,0.8283224883407084,0.8283224883407084,-0.5265464393964706,-0.5265464393964706
5099,2021-12-22 17:03:55+00:00,0.0036307830974172,0.0036307830974172,0.0048043943766202,0.0048043943766202,0.0011736110321013,0.0011736110321013,0,-0.298056903751031,-0.298056903751031,-0.3001296964037229,-0.3001296964037229,0.14587400313705148,0.14587400313705148
4160,2021-12-02 11:33:55+00:00,0.0036310183149559,0.0036310183149559,0.0048049340797499,0.0048049340797499,0.0011739147561107,0.0011739147561107,0,0.22666919059823096,0.22666919059823096,-0.03435933338059072,-0.03435933338059072,1.0964059892256237,1.0964059892256237
5777,2022-01-05 22:33:35+00:00,0.0036311588032123,0.0036311588032123,0.0048034358038691,0.0048034358038691,0.0011722752422326,0.0011722752422326,0,-1.2300287752405081,-1.2300287752405081,-1.4689979693747375,-1.4689979693747375,1.6641297317483301,1.6641297317483301
5676,2022-01-03 19:33:35+00:00,0.0036310987461453,0.0036310987461453,0.0048045822145597,0.0048045822145597,0.0011734822382704,0.0011734822382704,1,-0.11543156226174665,-0.11543156226174665,-0.4128293254554854,-0.4128293254554854,1.4214345505585662,1.4214345505585662
5275,2021-12-26 10:33:35+00:00,0.0036310212582661,0.0036310212582661,0.00480399183429,0.00480399183429,0.0011729732486957,0.0011729732486957,0,-0.6894284802956367,-0.6894284802956367,-0.8582150699354484,-0.8582150699354484,1.1083001298806439,1.1083001298806439
4278,2021-12-04 22:33:55+00:00,0.0036310215171671,0.0036310215171671,0.0048051789717737,0.0048051789717737,0.0011741594244517,0.0011741594244517,0,0.4647653366361001,0.4647653366361001,0.17973501476249312,0.17973501476249312,1.1093463685375053,1.1093463685375053
36,2021-09-01 18:09:55+00:00,0.0036304862246338,0.0036304862246338,0.0048049676553899,0.0048049676553899,0.00117448353212,0.00117448353212,0,0.25931308957343147,0.25931308957343147,0.46334187492763507,0.46334187492763507,-1.053811521932546,-1.053811521932546
5820,2022-01-06 20:03:35+00:00,0.0036309264031853,0.0036309264031853,0.0048027579207635,0.0048027579207635,0.0011718302296211,0.0011718302296211,1,-1.8891002811349145,-1.8891002811349145,-1.8584013739391685,-1.8584013739391685,0.7249835249979083,0.7249835249979083
2614,2021-10-28 11:05:55+00:00,0.0036303452038252,0.0036303452038252,0.0048062860100085,0.0048062860100085,0.0011759380218757,0.0011759380218757,0,1.5410826994157705,1.5410826994157705,1.7360771820562106,1.7360771820562106,-1.6236873484512078,-1.6236873484512078
