,primary_rx_time,175_177_tdoa,175_177_fdoa,175_176_tdoa,175_176_fdoa,176_177_tdoa,176_177_fdoa,maneuver,175_177_tdoa_scaled,175_177_fdoa_scaled,175_176_tdoa_scaled,175_176_fdoa_scaled,176_177_tdoa_scaled,176_177_fdoa_scaled
5614,2022-01-04 07:31:35+00:00,0.0062998289098338,0.0062998289098338,0.0028964327859364,0.0028964327859364,0.0034033963799564,0.0034033963799564,0,-0.3909246500620567,-0.3909246500620567,1.1908974820260723,1.1908974820260723,-1.874202965100937,-1.874202965100937
1078,2021-09-26 04:42:25+00:00,0.0062990226743405,0.0062990226743405,0.0028933524306615,0.0028933524306615,0.0034056709855497,0.0034056709855497,1,-1.1754762435507977,-1.1754762435507977,-0.46697235475472093,-0.46697235475472093,-0.24310839534828207,-0.24310839534828207
6595,2022-01-25 15:31:35+00:00,0.0063000293297384,0.0063000293297384,0.0028932014123268,0.0028932014123268,0.0034068287134765,0.0034068287134765,0,-0.1958950875734956,-0.1958950875734956,-0.5482515318483597,-0.5482515318483597,0.5870855249588992,0.5870855249588992
2523,2021-10-28 11:01:55+00:00,0.0062996282531004,0.0062996282531004,0.0028946285955785,0.0028946285955785,0.0034049981087926,0.0034049981087926,0,-0.58618467178204,-0.58618467178204,0.21986897809140526,0.21986897809140526,-0.7256208923944345,-0.7256208923944345
5388,2021-12-30 14:31:35+00:00,0.0063002864059844,0.0063002864059844,0.0028939992744371,0.0028939992744371,0.0034062875457352,0.0034062875457352,0,0.054267030223926704,0.054267030223926704,-0.11883628310900414,-0.11883628310900414,0.19902010968013456,0.19902010968013456
2267,2021-10-22 21:31:55+00:00,0.0063005812195485,0.0063005812195485,0.002893684998624,0.002893684998624,0.0034068951508981,0.0034068951508981,0,0.34115151176608655,0.34115151176608655,-0.2879818343426808,-0.2879818343426808,0.6347270668242903,0.6347270668242903
2239,2021-10-22 07:31:55+00:00,0.0062993986820298,0.0062993986820298,0.0028945417996175,0.0028945417996175,0.0034048568976061,0.0034048568976061,0,-0.8095813725656672,-0.8095813725656672,0.17315475429100735,0.17315475429100735,-0.826881875910469,-0.826881875910469
1088,2021-09-26 09:42:25+00:00,0.0062997874210865,0.0062997874210865,0.0028940753382594,0.0028940753382594,0.0034057095895177,0.0034057095895177,0,-0.4312975474057108,-0.4312975474057108,-0.07789817519379517,-0.07789817519379517,-0.2154259159059622,-0.2154259159059622
1896,2021-10-14 17:42:25+00:00,0.0062997674736323,0.0062997674736323,0.0028934076936477,0.0028934076936477,0.0034063553130351,0.0034063553130351,0,-0.4507085099708101,-0.4507085099708101,-0.43722940962836915,-0.43722940962836915,0.2476152925983441,0.2476152925983441
6382,2022-01-21 05:01:35+00:00,0.0062987297147438,0.0062987297147438,0.0028935450111567,0.0028935450111567,0.0034051807986671,0.0034051807986671,0,-1.4605566205976466,-1.4605566205976466,-0.3633241175705018,-0.3633241175705018,-0.5946159994479296,-0.5946159994479296
4277,2021-12-06 16:01:55+00:00,0.0062998653405215,0.0062998653405215,0.0028932540886909,0.0028932540886909,0.0034066106493051,0.0034066106493051,0,-0.35547377457408885,-0.35547377457408885,-0.5199007257369893,-0.5199007257369893,0.4307141140754561,0.4307141140754561
410,2021-09-09 13:42:25+00:00,0.0063007917351456,0.0063007917351456,0.0028943868697553,0.0028943868697553,0.0034064072390407,0.0034064072390407,0,0.5460052406476773,0.5460052406476773,0.08977036436342391,0.08977036436342391,0.28485085818966577,0.28485085818966577
